"batch_size","epochs","activation","dense","optimizer","drop","learning_rate","conv","clipnorm","clipvalue","decay","epsilon","rho","momentum","nesterov","beta_1","beta_2"
10,224,"hard_sigmoid","2000 1000 1000 1000 500 100 50","adagrad",0.595235203490441,0.0939643241921153,"25 25 25 25 25 1",4.25748340179591,4.94188208831418,7.2424436925177,"1e-06",7.50276141708321,7.67368631997728,TRUE,4.8697453119593,3.25582239441438
10,223,"sigmoid","500 100 50","rmsprop",0.388482829060906,0.0809431290192834,"25 25 25 25 25 1",5.59913329823077,8.64107786323293,4.76078511868138,"1e-08",3.87417230835581,2.05762668808107,FALSE,9.97648765891964,5.58107430829229
10,310,"softmax","500 100 50","adadelta",0.837312456978753,0.0706816290752426,"100 100 100 100 100 1",6.85312140586159,2.77069787933068,9.39216938256868,"1e-10",4.40822548756335,7.52632647473714,FALSE,9.0917778079459,8.8203050339
5,382,"softplus","1000 500 100 50","adam",0.629085731906164,0.0287007468061418,"64 32 16 32 64 1",8.81938429592071,0.199287188321923,5.26526525548543,"1e-06",5.78512359980802,1.41800571559463,FALSE,3.22389826324626,3.54373103398215
9,370,"softmax","500 100 50","adam",0.0719647794644698,0.092796227453819,"64 32 16 32 64 1",2.44603993025701,0.202134071625891,9.23646611424396,"1e-06",9.56792325044765,3.10522643025848,FALSE,5.47193820758558,9.15476958799008
5,481,"relu","500 100 50","adagrad",0.305281876378146,0.0421212514796119,"25 25 25 25 25 1",7.8735735961939,8.88132685652145,0.80113392128842,"1e-14",2.01609184892572,9.13350261504762,FALSE,3.60321288037282,4.6839425218637
6,123,"softplus","2000 1000 500 100 50","sgd",0.488827374681376,0.00303518464508346,"100 100 100 100 100 1",9.56562573737676,6.7306250796462,4.68006608940428,"1e-12",8.70572625446133,7.34097848336678,FALSE,9.85004672481528,6.76995115043922
9,107,"hard_sigmoid","500 100 50","rmsprop",0.714706757520209,0.0382148174530036,"64 32 16 32 64 1",7.86021668529548,2.41676421500136,1.25426740195369,"1e-08",0.591135772193695,9.93058142633759,FALSE,5.49781841492522,9.00866856316495
6,134,"tanh","2000 1000 1000 500 100 50","adam",0.337918726374535,0.0017186814671646,"25 25 25 25 25 1",9.68490032823132,8.80782777631752,8.35065089096315,"1e-14",1.52134267990026,6.98271336133359,TRUE,8.16396793876429,7.62120360363018
8,152,"elu","500 100 50","adadelta",0.216608860925969,0.00386062338161541,"50 50 50 50 50 1",8.85750189774799,4.32231998109225,6.37690347455209,"1e-06",3.8358621336934,5.57433873304166,TRUE,3.12865438695604,0.935616166645053
8,266,"tanh","2000 1000 1000 500 100 50","adadelta",0.414856396606809,0.0122722575311177,"32 20 16 32 10 1",5.06229775745008,7.28430913988517,1.03059537881985,"1e-14",3.61332065571501,1.39443360852194,TRUE,5.44734600535257,6.42477301914248
7,334,"softplus","2000 1000 1000 1000 500 100 50","adagrad",0.175257031526521,0.0330802421352634,"50 50 50 50 50 1",0.0298155600480389,4.95066793304627,2.65162852204055,"1e-10",3.86391762892519,1.20932358163176,FALSE,1.95379106740655,3.0160270627875
7,381,"softmax","2000 1000 500 100 50","rmsprop",0.781111001627811,0.0737635373828003,"32 20 16 32 10 1",2.28474958849738,5.02609116292074,2.29400052808109,"1e-10",7.87410814732497,3.16418281560764,TRUE,9.90247541391662,9.22240374884188
6,208,"relu","2000 1000 1000 500 100 50","adam",0.682673583344871,0.0778154386277594,"64 32 16 32 64 1",1.69889797951614,7.55349819279702,3.59577748585958,"1e-06",9.37739782367304,9.90805620380328,FALSE,4.36804370525058,6.42782882339625
10,487,"relu","500 100 50","rmsprop",0.376779325372993,0.0820577159264412,"100 100 100 100 100 1",4.87088295896245,9.85550829999808,9.84713055473985,"1e-08",8.25195666709222,5.11309424635605,TRUE,8.34989464271445,5.62147986913758
7,363,"linear","2000 1000 1000 500 100 50","adadelta",0.627707606152107,0.0504712767914623,"100 100 100 100 100 1",8.58772727922026,4.60791756444217,3.25347528714221,"1e-14",7.45813635489764,9.52096976513509,TRUE,5.26041031895029,3.73576267521711
5,194,"softplus","2000 1000 500 100 50","sgd",0.683895420489984,0.0354752132276987,"100 100 100 100 100 1",0.0687693970713205,2.13064871498942,6.16350503087859,"1e-12",7.00780454833322,3.88242846903973,TRUE,3.48373412893778,8.1923780920592
6,418,"softmax","500 100 50","sgd",0.0800987787534599,0.0470124529834438,"64 32 16 32 64 1",4.5477758619097,9.74234970270578,2.51645827996777,"1e-06",6.18724454520327,8.29509978153743,FALSE,4.89781997772277,3.08482712385211
9,171,"softplus","2000 1000 1000 1000 500 100 50","adagrad",0.0031362176855444,0.0702333956430239,"50 50 50 50 50 1",5.49197238690869,1.60234758972923,6.55530892595416,"1e-14",7.46457645668671,0.0465277098328806,TRUE,7.59337525270169,1.293974383978
8,155,"softplus","2000 1000 1000 500 100 50","adam",0.563167925821245,0.0259848771556271,"100 100 100 100 100 1",4.2259966233621,3.67164317780848,0.83278555633733,"1e-12",1.76784630500005,9.31690700994339,TRUE,8.77246582571849,6.98453524075224
5,169,"softplus","500 100 50","adam",0.823868999524356,0.0342815655394324,"64 32 16 32 64 1",0.00780169507744892,6.78024247276147,5.43637846158468,"1e-06",8.0118564290961,8.45992167167715,TRUE,5.41129792025767,5.31082768319674
7,353,"softplus","2000 1000 1000 500 100 50","adam",0.449091939953738,0.00353611558663815,"32 20 16 32 10 1",8.82009487271218,5.89486444871233,1.32671867436147,"1e-12",5.49666394674683,5.95896326374146,FALSE,2.68907592550458,8.11218101889912
9,318,"elu","2000 1000 500 100 50","adam",0.566666149370105,0.0874567617665119,"64 32 16 32 64 1",7.13346287339188,7.88055953606034,5.25846133865183,"1e-12",5.55347791569869,4.88455602294533,FALSE,9.59208015185764,9.07598503144751
6,254,"softsign","1000 500 100 50","adam",0.222725050014211,0.0186835807199605,"64 32 16 32 64 1",7.2587316237012,3.3144305378614,4.31215520849568,"1e-08",3.99370211028605,1.43022243996966,TRUE,6.30479820086292,3.81186711664344
5,238,"softmax","500 100 50","adadelta",0.127607761205931,0.0258841515286941,"100 100 100 100 100 1",8.28862150998705,3.13726673437909,2.46772801985382,"1e-06",5.04030368579083,9.73585713956738,TRUE,5.36602723659947,6.72027714208183
7,306,"tanh","2000 1000 500 100 50","adam",0.807145065129292,0.0300567332364557,"64 32 16 32 64 1",2.82866850301451,1.3737620101847,3.09430255457177,"1e-14",7.32335617337879,3.64719807295012,FALSE,7.93783987678671,7.85845410166675
6,207,"hard_sigmoid","500 100 50","sgd",0.00467788958352758,0.0353705807188426,"64 32 16 32 64 1",2.5110865736925,5.30331881611912,2.58000465083751,"1e-12",9.19291658532814,5.59919858932961,TRUE,5.33182971438092,0.622517460419541
9,218,"softsign","2000 1000 1000 1000 500 100 50","adadelta",0.566246529386519,0.0621681163528074,"32 20 16 32 10 1",1.03970328452578,4.54736384287747,4.1950314551394,"1e-10",7.61795171489774,1.48756740437588,TRUE,2.97893327924191,6.1203002718547
7,377,"softmax","2000 1000 500 100 50","rmsprop",0.42853351241526,0.0491193662264922,"32 20 16 32 10 1",2.95723869054575,3.46834517991142,3.03504422087339,"1e-08",0.447523975184658,7.84650066727889,TRUE,7.40815592486728,5.90646510730103
7,256,"sigmoid","2000 1000 1000 1000 500 100 50","adagrad",0.115135195536073,0.0996520151152781,"32 20 16 32 10 1",5.67095217385858,5.20490019483211,9.70768701249384,"1e-06",7.84128181647211,6.95515840887558,FALSE,4.03581862187741,5.3323169002315
5,316,"elu","2000 1000 500 100 50","adagrad",0.267089940914861,0.0354169227648316,"64 32 16 32 64 1",1.46485849152722,4.65532953577443,5.77827372777974,"1e-06",0.0820295402809163,5.91169292098843,FALSE,0.207016837601602,2.09598181287083
5,344,"hard_sigmoid","2000 1000 1000 1000 500 100 50","adadelta",0.609000393252668,0.0384236209685366,"64 32 16 32 64 1",1.76093292482548,7.50752881279049,4.70663139349897,"1e-12",7.01470253329772,5.55015047398163,TRUE,0.174174860540429,1.13227405774123
7,404,"linear","500 100 50","adagrad",0.542235904315207,0.00614248635132405,"50 50 50 50 50 1",2.93951690618119,8.47134455468925,0.162897391981678,"1e-10",0.794832616595619,9.97223782965681,FALSE,7.6472607659039,6.3481313430327
10,427,"elu","2000 1000 500 100 50","sgd",0.764209309403307,0.0174425821267766,"64 32 16 32 64 1",5.04129050125974,8.81350187597121,4.23867653364316,"1e-08",3.28450299758099,5.10679381071241,TRUE,9.32576448415394,5.51613823961281
7,234,"softsign","1000 500 100 50","adadelta",0.749679925847857,0.0765697511209034,"100 100 100 100 100 1",4.83753438389445,8.55629964745675,3.26988932953798,"1e-08",0.459818001697847,6.36226634943276,FALSE,7.95851986781481,0.26962134574195
10,499,"relu","2000 1000 1000 500 100 50","adagrad",0.245562445740192,0.0515561503947434,"25 25 25 25 25 1",8.1624361277713,5.39809214848646,5.79410698292311,"1e-12",7.30797120517412,1.94988632006338,TRUE,2.64106411032855,2.38308236765623
8,475,"softmax","2000 1000 1000 500 100 50","rmsprop",0.434782734062034,0.0731022862240472,"32 20 16 32 10 1",8.96259694210315,3.48645107901854,4.25350379119744,"1e-06",6.31509772474302,1.02802125033224,FALSE,4.6730794357739,1.57310170115097
10,275,"softmax","2000 1000 1000 500 100 50","rmsprop",0.581023023563821,0.0708282464786495,"64 32 16 32 64 1",9.4653487483461,6.80723140814997,3.687756792726,"1e-08",0.45461172962078,4.23243616540218,TRUE,3.34416917115707,6.48570945522258
7,188,"sigmoid","2000 1000 500 100 50","adam",0.354695945927,0.0435524726019606,"64 32 16 32 64 1",1.79886999460613,9.53024592840008,9.60241432483192,"1e-10",6.04487290426484,2.27875285483897,TRUE,0.253430591925215,1.46935523501521
10,459,"linear","2000 1000 1000 1000 500 100 50","adam",0.421758153065492,0.0547278018764934,"64 32 16 32 64 1",3.00108703332931,6.30012290414198,6.71745381314308,"1e-08",0.274605343025641,9.24445824301103,TRUE,7.19418305933012,8.85160204268059
7,118,"softplus","2000 1000 500 100 50","rmsprop",0.160603698196518,0.0719696089069523,"32 20 16 32 10 1",3.54681798866335,3.29273291781042,6.28455827881349,"1e-10",4.73392017058172,9.34823850671295,TRUE,4.40655818887961,9.69652241854072
10,372,"softsign","2000 1000 1000 1000 500 100 50","sgd",0.445721045405092,0.0590147379650351,"64 32 16 32 64 1",5.81072217513151,3.54444148193342,6.67550936977612,"1e-08",3.94726012930684,4.67017823638744,FALSE,3.3564649431271,2.58440898627831
7,482,"softsign","500 100 50","adam",0.728197177025944,0.0992629489788465,"32 20 16 32 10 1",0.525203232196387,4.69491739077182,4.53315224355319,"1e-10",3.06210699818802,7.54039774953853,TRUE,4.33795942348845,1.03534359848149
7,302,"hard_sigmoid","500 100 50","sgd",0.279134841901192,0.00081098082323108,"50 50 50 50 50 1",0.758966629540107,0.588556971160554,1.51171281850315,"1e-12",0.0314697034313864,7.83115572374431,TRUE,0.787860488243381,7.17407997887103
6,315,"linear","1000 500 100 50","adagrad",0.0544187715632608,0.0876993903099429,"32 20 16 32 10 1",6.90663076096232,9.14913319114983,6.22128298076568,"1e-06",7.09250865722915,5.48974735733471,TRUE,2.17155371233476,2.70034738524764
10,123,"softplus","2000 1000 1000 500 100 50","sgd",0.149927473154117,0.0837780087142027,"64 32 16 32 64 1",5.20654523684136,5.15937444315493,8.64383541124757,"1e-10",5.55643801962197,5.42650962715037,FALSE,1.94900414187159,5.27094291036985
10,246,"softsign","2000 1000 1000 500 100 50","rmsprop",0.467636695785227,0.0894745039366648,"25 25 25 25 25 1",1.29335912796379,3.11511705474414,7.16345220161369,"1e-10",3.17452025715944,5.60693729423568,TRUE,5.6413192575121,2.73647909484736
9,101,"elu","2000 1000 500 100 50","sgd",0.806628313428978,0.0866573919696341,"64 32 16 32 64 1",3.86075211428588,6.67783740110323,6.11080867094104,"1e-08",5.41504895448852,2.98799387561157,TRUE,9.57551111868721,7.44055239658845
10,444,"softmax","2000 1000 500 100 50","sgd",0.57003277765325,0.0436153254539968,"50 50 50 50 50 1",6.72931339295346,5.39430823369144,4.90757608801126,"1e-08",5.41287140887999,4.73030985325226,TRUE,2.29001879529276,3.8016723910535
5,409,"relu","2000 1000 1000 500 100 50","rmsprop",0.747270052323234,0.0851554977333072,"50 50 50 50 50 1",8.48688122784982,3.80093500272296,5.22142518874607,"1e-08",0.688451273302055,2.54025844042539,FALSE,3.47226356979774,6.82123646809007
9,255,"relu","2000 1000 1000 500 100 50","adagrad",0.595538999634201,0.0709550761978443,"100 100 100 100 100 1",0.0483401476161827,1.18126580474485,2.42372857120121,"1e-08",4.87666356931432,5.95194201074657,FALSE,0.627752840393408,8.28188369929002
9,297,"relu","1000 500 100 50","adadelta",0.647823686451791,0.0254330022635084,"32 20 16 32 10 1",1.01994461047907,9.40074104213473,2.40565946333925,"1e-06",5.98078776855188,5.92729449181701,FALSE,0.511769588169028,8.50697185947015
10,219,"elu","500 100 50","adagrad",0.00266674199845875,0.0460378759565149,"64 32 16 32 64 1",1.7392749287731,2.612416888378,5.32254013235448,"1e-14",4.19212098456542,8.55045307502151,FALSE,5.42226231739798,9.1405226146073
7,119,"relu","1000 500 100 50","rmsprop",0.842614950721501,0.016594040625891,"50 50 50 50 50 1",1.50790604533056,0.261209156048622,0.56638673126814,"1e-14",2.00258924891152,2.56746146740275,FALSE,2.46524530139201,9.1330461013582
8,211,"softplus","1000 500 100 50","adagrad",0.439891888821381,0.0563482131708767,"100 100 100 100 100 1",0.846003437603424,3.0696130697403,2.16050681222114,"1e-14",8.87454703754165,0.0363528956228402,TRUE,6.41886552529121,1.79333733940198
9,312,"softsign","2000 1000 1000 1000 500 100 50","adadelta",0.723073941761849,0.00663244490088495,"32 20 16 32 10 1",5.76742809033887,9.70782282746385,5.56633709603688,"1e-14",7.57623492861589,1.12719312753296,FALSE,3.93598369109835,4.22863678213594
8,174,"hard_sigmoid","2000 1000 1000 500 100 50","sgd",0.614024951210199,0.0695272549903949,"32 20 16 32 10 1",7.73877726401044,6.84191450884226,9.06122167579713,"1e-14",3.97772612397676,0.482865695066284,FALSE,3.0791864816285,6.92772789636781
10,215,"linear","500 100 50","sgd",0.578580257355783,0.0183602457516725,"64 32 16 32 64 1",3.1010769385687,0.324376053832206,3.32374235097552,"1e-12",4.96136731180251,5.05867432442028,FALSE,4.1671213523684,9.03659353121336
9,223,"sigmoid","500 100 50","adam",0.470656545374065,0.018276639832758,"100 100 100 100 100 1",5.8939357220187,6.38527043713375,4.54079952245229,"1e-08",7.12168948990906,5.20837408794905,TRUE,4.00786882476833,8.72664656168796
6,280,"linear","2000 1000 500 100 50","adagrad",0.0120215160462423,0.0823760663362195,"100 100 100 100 100 1",2.48218955425521,3.3959305797164,1.98994379061507,"1e-10",9.28166901142093,7.28180623985478,TRUE,4.4129605997062,8.01413223004066
5,372,"tanh","2000 1000 1000 500 100 50","rmsprop",0.593386369422649,0.0857590041979869,"50 50 50 50 50 1",0.0801804979655443,4.26934837331752,4.34808711462887,"1e-10",9.40969892121894,6.31979612687137,TRUE,5.32761739419812,1.33331033766013
10,210,"softplus","2000 1000 500 100 50","adadelta",0.301225107894524,0.0133385228560702,"64 32 16 32 64 1",9.02172750938072,4.96615644791544,5.27849235604168,"1e-14",8.1546168452817,8.03738091208739,FALSE,2.47026389065138,9.96276943100424
10,321,"hard_sigmoid","500 100 50","sgd",0.0589158456441248,0.0514964189271247,"50 50 50 50 50 1",8.31734442518077,3.05849297482473,6.17693994897185,"1e-08",8.33773479783576,5.61050118272309,FALSE,5.64965777454533,7.4707439339492
5,348,"softmax","1000 500 100 50","adadelta",0.0279607772386749,0.039974764475616,"32 20 16 32 10 1",5.70807565673029,7.5025833888199,9.53052008067607,"1e-10",5.19243309874926,1.71101136319689,TRUE,9.53034469746248,8.26679297402137
5,361,"tanh","2000 1000 1000 500 100 50","sgd",0.235048142639059,0.0113747912785528,"50 50 50 50 50 1",4.27637749306348,8.02527308177051,4.85450186663074,"1e-12",6.13655121220539,0.644653067080071,FALSE,8.97880647760383,3.72597515966155
6,482,"softsign","1000 500 100 50","adagrad",0.0461151748890057,0.0438550078777247,"100 100 100 100 100 1",2.45899513812421,1.65332305791203,2.3990992668143,"1e-12",9.71104969308136,6.15787607957725,TRUE,2.07405123043264,4.97744921077648
10,494,"linear","500 100 50","adagrad",0.324556732277374,0.0680161516773719,"32 20 16 32 10 1",9.83678669029925,9.39146679677848,3.27447601568536,"1e-12",8.84009881573373,4.18011717578862,TRUE,6.50897921882808,0.0805826673903012
7,134,"softplus","500 100 50","rmsprop",0.534275757807959,0.0723920656071634,"25 25 25 25 25 1",4.51948792518702,3.347689185421,5.2041193471232,"1e-10",7.43745047529336,8.83304623630014,FALSE,0.762457511984126,7.4366675733217
8,185,"tanh","2000 1000 1000 500 100 50","rmsprop",0.781328771012148,0.0815587402695835,"50 50 50 50 50 1",7.20907897670262,3.92804831491597,6.97432526164572,"1e-06",8.22405003232953,7.57513820664608,FALSE,3.28196747592773,9.57266525386161
9,106,"elu","2000 1000 500 100 50","rmsprop",0.477915553838911,0.0465670207645029,"50 50 50 50 50 1",2.05101923130301,8.84654785413361,8.85383859761874,"1e-08",4.64440653297541,6.69287474979181,TRUE,9.88891075649634,9.85770345116531
7,426,"hard_sigmoid","2000 1000 1000 1000 500 100 50","adagrad",0.273414136420819,0.0339287155163777,"64 32 16 32 64 1",0.617210382209265,9.55978345326748,0.753122779910918,"1e-12",5.44625978554571,8.9711178148794,TRUE,8.0347466505884,6.50897423043719
10,143,"softplus","1000 500 100 50","sgd",0.57121229141074,0.043732642107423,"25 25 25 25 25 1",5.08750705511899,8.52171155804071,5.2196737444587,"1e-12",0.494358799263958,7.22635605561198,FALSE,4.92254824373479,9.6477733410944
8,398,"tanh","2000 1000 1000 1000 500 100 50","adam",0.238995131572452,0.0517024508583768,"64 32 16 32 64 1",9.20011244424444,3.24998694541219,7.20284221897251,"1e-06",3.38763972877668,7.3955309244222,TRUE,3.56270011867035,1.85378025494696
10,108,"linear","500 100 50","adam",0.14388522134379,0.0148934983001346,"32 20 16 32 10 1",8.42011555351174,5.23060971493866,4.79879757109331,"1e-06",1.48484247433329,0.784578125781845,FALSE,7.09127940548062,5.43730324779125
6,446,"softmax","500 100 50","adadelta",0.101886209594307,0.0609532147374205,"64 32 16 32 64 1",8.47717876219847,4.94585678579842,9.66021623478504,"1e-06",5.34669121431283,9.80133302942035,FALSE,7.99507163852769,5.57556206932465
10,106,"tanh","500 100 50","adam",0.898026599854126,0.00566995528476731,"50 50 50 50 50 1",5.86197335716647,8.00120748009848,1.34072299472755,"1e-10",9.01806111144504,6.30254649621085,TRUE,1.58576533866833,2.23002529024261
6,432,"sigmoid","1000 500 100 50","adadelta",0.103956335344166,0.0562199750910155,"64 32 16 32 64 1",8.61941752312794,3.6896900261694,3.72696294464054,"1e-10",6.57783275471158,2.89735434686299,FALSE,3.22756270998519,0.537361991330288
10,427,"linear","2000 1000 1000 500 100 50","rmsprop",0.139296977181954,0.092676254962414,"50 50 50 50 50 1",4.07115187704548,6.16999885244801,8.30670052168774,"1e-06",9.96342441442659,9.08430157477618,FALSE,0.357877508840509,7.92748478950715
5,497,"hard_sigmoid","2000 1000 500 100 50","rmsprop",0.437473976637342,0.0579219722396064,"50 50 50 50 50 1",4.7668191436897,3.06306732240582,9.56303408671753,"1e-12",5.96863640235611,1.16067768112873,FALSE,8.76199600474873,0.467629091919446
8,156,"sigmoid","2000 1000 1000 500 100 50","adadelta",0.0177717543120962,0.0530950593336769,"32 20 16 32 10 1",2.87392469197736,9.00911181778855,3.14322608455317,"1e-10",4.36717015882461,3.25423915958963,FALSE,2.61204808667574,6.88254591918718
6,193,"softplus","2000 1000 500 100 50","sgd",0.395678203454521,0.0458264208070734,"25 25 25 25 25 1",5.65088543903455,5.1476033459251,2.35207982831751,"1e-10",7.54275110288218,6.12620009159786,FALSE,7.56987426466526,4.82944466974498
6,330,"sigmoid","2000 1000 1000 1000 500 100 50","rmsprop",0.381060924618447,0.00784124264573259,"25 25 25 25 25 1",2.6086008784954,3.07481398069977,6.91274882561644,"1e-12",6.64968504276608,4.32047177534434,TRUE,9.78278961228519,3.64120466312073
10,155,"hard_sigmoid","500 100 50","rmsprop",0.692660481593083,0.00786073749052885,"32 20 16 32 10 1",3.66385132908812,0.910558567027529,0.343567921319045,"1e-08",6.87133352173162,0.387133092890726,FALSE,1.29552880888677,9.74544140278428
9,397,"elu","2000 1000 500 100 50","adadelta",0.362005603147962,0.0241334076241317,"100 100 100 100 100 1",5.27140942807066,8.90249380383142,0.765366706498898,"1e-10",0.599673249845413,2.32717768513947,FALSE,1.0024485785294,4.20462487381545
5,111,"softsign","2000 1000 1000 500 100 50","adagrad",0.187179335340997,0.0597521426515677,"50 50 50 50 50 1",4.50516176711072,7.30174676350853,0.307727855789708,"1e-08",9.45758463920218,6.74480476442492,FALSE,3.02029989648252,2.67238927800937
8,392,"sigmoid","2000 1000 500 100 50","adadelta",0.51856098035347,0.0528522600033947,"32 20 16 32 10 1",9.31850598507858,6.64158608459327,5.24880779105122,"1e-08",9.05793529226229,4.95567891886458,FALSE,4.49654810706216,9.75624469150334
8,382,"softmax","2000 1000 1000 500 100 50","sgd",0.806165924888919,0.0620135012808814,"100 100 100 100 100 1",9.43930036900835,9.38853702700053,4.43619351676665,"1e-08",0.419818725237238,4.138537055091,TRUE,5.53903816457905,3.16361037050142
6,442,"softsign","2000 1000 1000 500 100 50","adagrad",0.413603869049996,0.03960961863004,"32 20 16 32 10 1",5.29479986391681,4.69817969632807,9.67868868070538,"1e-06",4.89332943511056,4.51831998113892,FALSE,1.09596388717493,9.77715455385268
8,288,"tanh","2000 1000 500 100 50","adadelta",0.881632880895166,0.0994177174517097,"64 32 16 32 64 1",7.65251593858957,0.325284043515942,8.79796090438031,"1e-12",2.65801079493217,8.06329054651433,FALSE,2.00814564102063,9.50063559587168
10,220,"softmax","1000 500 100 50","adagrad",0.726755601972586,0.0538043445910575,"32 20 16 32 10 1",9.92568477749392,5.92807325225231,3.48522990901722,"1e-14",9.7061188759176,6.84221347316285,FALSE,2.41773939308127,9.51327881589409
9,191,"relu","2000 1000 500 100 50","adagrad",0.750791532323684,0.0885884283834629,"100 100 100 100 100 1",4.4123717119178,4.73272949553627,5.612454281135,"1e-06",6.53309686657386,1.68196740191313,FALSE,9.39803954086928,6.25153355274419
9,365,"linear","1000 500 100 50","sgd",0.270915271422942,0.00489875219190504,"25 25 25 25 25 1",0.484388543982528,1.48281294500495,2.08026599445031,"1e-08",4.76874383599224,7.66260764086386,FALSE,8.63900510410085,3.69396003809583
7,255,"sigmoid","2000 1000 1000 1000 500 100 50","adam",0.104619829222478,0.0869826531997126,"64 32 16 32 64 1",7.40400156192572,2.21507374314484,1.49267624009284,"1e-12",1.82755930832821,5.33718991379952,FALSE,0.883217157176047,1.31194562049368
5,164,"relu","2000 1000 1000 500 100 50","adam",0.454087174428406,0.033128143874153,"100 100 100 100 100 1",0.745004557838551,8.29455559796463,8.39074881027802,"1e-06",4.05007017003159,1.34566234229133,TRUE,8.54877612050258,3.50695332339733
7,419,"softplus","2000 1000 1000 1000 500 100 50","adagrad",0.0678620332043502,0.0521834848618325,"25 25 25 25 25 1",4.28972308080964,5.59914918319753,7.78084355895291,"1e-06",7.83596263893447,2.36454229192459,FALSE,0.2899531633003,5.46550134021254
9,439,"softplus","500 100 50","rmsprop",0.47997088836506,0.0838581168602747,"64 32 16 32 64 1",5.82388079549831,6.12931895692772,9.89242885204847,"1e-08",6.66264395202259,8.65622482847073,TRUE,2.20375273797049,9.52412291010138
8,373,"tanh","500 100 50","adadelta",0.531053084156744,0.0179609670738674,"100 100 100 100 100 1",6.65479951713897,7.555682637048,1.73089671353926,"1e-10",2.82686271809885,4.53974419357139,TRUE,8.56982321873873,5.45581834584885
7,438,"relu","1000 500 100 50","sgd",0.429030898043141,0.0240502867747764,"100 100 100 100 100 1",5.35474088627959,9.97820343187075,2.09209536940558,"1e-08",1.79160366304422,1.03074927369831,TRUE,4.38440837798071,6.82813527940417
5,363,"softplus","2000 1000 500 100 50","rmsprop",0.871517782903626,0.0919818060325574,"64 32 16 32 64 1",6.56425013470085,6.32296078105602,9.89907818568288,"1e-06",3.23082241007501,0.789096801148262,TRUE,4.08147458101231,0.982071646384842
7,497,"sigmoid","2000 1000 1000 500 100 50","rmsprop",0.120192415654566,0.0203144071187245,"32 20 16 32 10 1",5.50961302372062,1.11313691939224,0.700262519186363,"1e-12",6.69354411733196,3.31686881777947,FALSE,4.4597405563739,4.34883105257417
6,244,"hard_sigmoid","2000 1000 500 100 50","sgd",0.684165183380444,0.0716682343266118,"32 20 16 32 10 1",5.35926425816738,9.282069099846,5.80235136554809,"1e-14",0.331898898138415,9.14736239763908,FALSE,2.97363143635908,2.71093805939942
8,155,"softmax","500 100 50","rmsprop",0.00336660461233696,0.0832089586639037,"25 25 25 25 25 1",0.972927758558116,5.23845333575553,1.16073864177219,"1e-06",2.07724281411569,3.35428904497647,TRUE,3.37123021410697,6.74870884318447
