"cell_features","use_landmark_genes","dense","dense_feature_layers","batch_size","residual","activation","optimizer","learning_rate","reduce_lr","warmup_lr","epochs","clipnorm","clipvalue","decay","epsilon","rho","momentum","nesterov","beta_1","beta_2"
"mirna",1,"1000","1000",512,FALSE,"relu","rmsprop",0.0828542556292288,FALSE,FALSE,123,5.04029394208183,9.73757272405279,7.93027226175298,1e-10,6.72493310785819,1.35875626461348,TRUE,1.30289467479913,8.1095099244808
"mirna",1,"1000 1000 1000 1000","1000 1000 1000",64,TRUE,"relu","sgd",0.0282904657373219,FALSE,FALSE,435,7.32345945166675,3.64518137573172,4.4038112542429,1e-12,7.85558974301216,9.21321923214477,TRUE,9.31757728941397,9.1899860233763
"mirna",1,"1000 1000 1000 1000 1000","1000",64,FALSE,"sigmoid","sgd",0.0251365722356184,TRUE,FALSE,410,9.19243176041954,5.59804469648896,8.01150758217205,1e-10,0.624969262255067,8.55844697967288,TRUE,4.81489436510096,0.734740402044044
"expression",1,"1000 1000","1000 1000 1000 1000 1000",1024,TRUE,"sigmoid","rmsprop",0.0103882410138726,FALSE,FALSE,340,7.6152853218547,1.48765441368686,7.2793565755384,1e-08,6.12151736269045,7.7681131194008,TRUE,1.94557443130725,1.42139319721985
"mirna",1,"1000","1000 1000 1000",256,FALSE,"sigmoid","rmsprop",0.0295813270662421,FALSE,FALSE,203,0.446519707301033,7.84658933002709,7.52290416813572,1e-12,5.90909547221698,8.39364594958257,FALSE,7.99986671936334,7.12738751410521
"mirna",1,"1000 1000 1000 1000","1000 1000 1000 1000 1000",256,FALSE,"tanh","rmsprop",0.0567169310305149,TRUE,TRUE,176,7.8422918002315,6.95692659718437,2.51451630901545,1e-10,5.33496630442566,7.28256076673046,FALSE,5.00141425100855,9.14361094315134
"mirna",1,"1000","1000 1000 1000",256,FALSE,"sigmoid","sgd",0.0146278416654855,FALSE,TRUE,173,0.0810019628708264,5.91091349248413,4.099039188514,1e-06,2.0977452313567,3.86073558260454,TRUE,3.94496235189666,6.58908338717371
"mirna",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000 1000",1024,TRUE,"sigmoid","sgd",0.0176549621275652,TRUE,FALSE,420,7.01221525774123,5.55228522037517,6.35482183862012,1e-06,1.13443884216833,5.56623403051053,TRUE,1.22935797741369,7.14905608960615
"mirna",1,"1000 1000 1000 1000 1000","1000",512,TRUE,"relu","adam",0.0294044658994486,TRUE,FALSE,336,0.793186893032697,9.97057534999487,2.62690613711602,1e-12,6.34636783186835,6.41044432622148,TRUE,1.8985413753225,7.0067123885999
"expression",1,"1000","1000 1000 1000",64,TRUE,"relu","sgd",0.0504493139835522,TRUE,FALSE,249,3.28116058961281,5.10979812748299,5.12834495613817,1e-14,5.51558810320228,4.99778254516888,FALSE,7.62179142510564,8.40356626958174
"mirna",1,"1000 1000","1000 1000",1024,TRUE,"tanh","rmsprop",0.0484023862666394,TRUE,FALSE,219,0.45961944574195,6.36404513734949,1.90831524241483,1e-12,0.266665532775841,8.79407758030575,TRUE,7.58351428604312,1.97268565040869
"expression",1,"1000 1000 1000","1000 1000 1000 1000",256,FALSE,"sigmoid","sgd",0.0816312799018851,TRUE,TRUE,351,7.30803311765623,1.94761098488775,6.00466469515231,1e-08,2.38468276806185,3.12960590478848,TRUE,9.92958876055781,8.93742171011665
"expression",1,"1000","1000 1000 1000 1000",256,FALSE,"tanh","rmsprop",0.0896016486926424,FALSE,FALSE,155,6.31805425115097,1.0257829390227,2.83762419313076,1e-10,1.57467403664915,0.569198441433255,TRUE,2.59987826278825,2.79585836815327
"expression",1,"1000","1000 1000 1000 1000",256,TRUE,"tanh","sgd",0.0946956932315605,TRUE,FALSE,256,0.450769805222584,4.23218506180858,5.91220952060889,1e-08,6.48535981708578,1.49676531480742,TRUE,4.39213951656068,8.15522684052382
"mirna",1,"1000 1000 1000 1000","1000 1000 1000",32,FALSE,"sigmoid","sgd",0.018006533692631,TRUE,TRUE,287,6.04430948501521,2.27707061361951,8.58488673850079,1e-06,1.46744068415995,8.43025674087927,TRUE,5.75223769377598,6.5679176880773
"expression",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000 1000",32,FALSE,"sigmoid","sgd",0.0300520763729771,TRUE,TRUE,248,0.271687842680591,9.24218329620317,7.16916865768027,1e-12,8.85061634712519,4.95239068221766,FALSE,4.37030259940195,3.01862827240513
"mirna",1,"1000 1000","1000 1000 1000",256,FALSE,"tanh","rmsprop",0.0354951262250589,FALSE,TRUE,301,4.73157206854072,9.34747946849877,5.07450351496111,1e-10,9.69634859228718,2.00430832240148,FALSE,7.98968802504249,7.16982478343661
"expression",1,"1000 1000","1000 1000 1000 1000 1000",64,FALSE,"sigmoid","sgd",0.0581261838134272,FALSE,TRUE,207,3.94939533627831,4.67245225980093,1.61720221379539,1e-08,2.58497780090971,1.09878685248899,TRUE,7.73629268921584,0.304063158803802
"mirna",1,"1000 1000 1000","1000",32,TRUE,"tanh","rmsprop",0.00527984914802353,FALSE,FALSE,333,3.06032334848149,7.54116829551841,6.68178325194283,1e-10,1.0381102346684,0.732529785145307,TRUE,4.88292956271199,7.82810719288271
"mirna",1,"1000 1000 1000 1000 1000","1000",64,FALSE,"relu","adam",0.00757294380129845,FALSE,FALSE,385,0.0341513788710322,7.83429854476694,5.77272816106677,1e-06,7.17340701683034,6.09718625377514,TRUE,6.17143026568283,9.63192605089951
"mirna",1,"1000 1000 1000 1000 1000","1000 1000",512,FALSE,"tanh","rmsprop",0.0690778883406677,TRUE,TRUE,110,7.09030348524764,5.48580033456398,9.14799140630523,1e-08,2.70486359225148,9.51693091906607,FALSE,7.63878368596258,8.44119661823496
"expression",1,"1000 1000","1000 1000 1000 1000",128,FALSE,"tanh","sgd",0.0520687294419945,TRUE,TRUE,312,5.55594006036984,5.42796454506606,2.11712573282188,1e-06,5.27146889384615,5.94466128341388,FALSE,1.91947692355702,1.69564753988153
"expression",1,"1000 1000","1000 1000 1000 1000",256,TRUE,"tanh","adam",0.0129532255647929,FALSE,TRUE,316,3.17147474484736,5.60612456129871,6.36266521971673,1e-10,2.73512180851369,4.12220822282368,TRUE,7.93116443722146,8.14307411600416
"expression",1,"1000","1000 1000 1000",64,TRUE,"tanh","sgd",0.0386061710420911,TRUE,TRUE,255,5.41557264658845,2.98817095002884,8.21553133583511,1e-14,7.44222445335863,6.58474297452602,TRUE,3.97222775933923,5.27280503008359
"expression",1,"1000","1000 1000 1000",128,TRUE,"sigmoid","adam",0.0672815275458165,TRUE,FALSE,250,5.4116562910535,4.73496600382952,9.4369834419922,1e-08,3.80109643946008,0.843579812059179,TRUE,9.51223146098985,7.80579870587573
"mirna",1,"1000 1000 1000","1000 1000 1000 1000",256,TRUE,"tanh","adam",0.0848850932106794,FALSE,TRUE,192,0.686297818090069,2.54437505037419,1.46065756760421,1e-08,6.82207043914596,9.4924702856678,FALSE,4.32921730723295,7.21639955259497
"expression",1,"1000 1000 1000","1000 1000 1000 1000",512,TRUE,"tanh","rmsprop",0.000476076742041322,FALSE,FALSE,257,4.87691774929003,5.95324264605134,1.65821111974656,1e-06,8.28391079859157,0.77586209789617,FALSE,4.85591824967839,2.65750982128328
"expression",1,"1000 1000 1000","1000 1000",512,TRUE,"relu","rmsprop",0.0101664600127004,TRUE,FALSE,115,5.98199710947015,5.92867729406743,4.79999269672437,1e-06,8.50907988444127,6.02374763472355,TRUE,6.1162816518594,6.36663095410513
"expression",1,"1000","1000",512,FALSE,"sigmoid","sgd",0.0173788919890395,FALSE,TRUE,425,4.1905721146073,8.55439425216289,2.84932728915359,1e-10,9.14103007552709,6.99187551536714,TRUE,8.39850298165717,5.32136564025076
"mirna",1,"1000 1000 1000","1000 1000",128,TRUE,"relu","adam",0.0150835852307686,FALSE,FALSE,441,2.0031174013582,2.56521630542387,0.716440053548431,1e-08,9.13019937698633,6.53669412230607,FALSE,1.33644812768805,3.21082389690663
"expression",1,"1000 1000","1000 1000",512,FALSE,"sigmoid","rmsprop",0.00850450829321185,FALSE,FALSE,451,8.87326653940197,0.0352609059971489,7.49034209186328,1e-12,1.79180333168547,7.39020599144744,TRUE,0.59014159084829,5.06970540094264
"expression",1,"1000 1000","1000 1000 1000 1000 1000",1024,TRUE,"relu","rmsprop",0.0576663406965373,TRUE,TRUE,477,7.57860328213594,1.12967979422344,3.73736054865876,1e-08,4.22715609242612,4.03935812133946,TRUE,2.42662686748244,8.60581071837398
"expression",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000",64,TRUE,"tanh","rmsprop",0.077378921340457,TRUE,TRUE,498,3.97775739636781,0.484008469716935,1.29822652190691,1e-08,6.92688592552775,4.07792930824682,TRUE,0.294531695084443,9.46300792780344
"expression",1,"1000 1000 1000 1000 1000","1000",64,TRUE,"relu","sgd",0.0310200679327926,FALSE,FALSE,363,4.96163428121336,5.05630563703585,1.71997944556293,1e-10,9.03729882697203,2.69619824744062,FALSE,4.75926245527564,9.43376989766394
"expression",1,"1000 1000 1000 1000","1000",32,TRUE,"relu","rmsprop",0.0589207154044547,TRUE,FALSE,217,7.12166261168796,5.20832980484721,7.43273627095506,1e-10,8.72691570973855,4.87378477914841,FALSE,2.87660044333102,1.86705050609751
"mirna",1,"1000 1000 1000 1000 1000","1000 1000 1000",512,FALSE,"tanh","rmsprop",0.0248241366185641,FALSE,FALSE,321,9.28411953004066,7.28224351398054,8.60865059046657,1e-10,8.01162332110854,1.89106917352299,FALSE,0.395257248896005,1.66551662301761
"mirna",1,"1000 1000 1000 1000","1000 1000 1000 1000",256,TRUE,"tanh","adam",0.00085684548847304,FALSE,FALSE,295,9.40822958766013,6.31586713774803,7.31750175090972,1e-10,1.33386537403919,6.28392809164012,FALSE,1.09190385884885,3.98072351192634
"expression",1,"1000 1000","1000 1000 1000",1024,FALSE,"relu","sgd",0.0902469593142648,FALSE,TRUE,439,8.15278753100424,8.03725480119753,4.23989481912227,1e-08,9.96341938488678,8.79639006083948,TRUE,8.25051091396844,4.00844049848139
"expression",1,"1000 1000 1000 1000 1000","1000",64,FALSE,"sigmoid","adam",0.0831788640320001,FALSE,TRUE,230,8.3357352839492,5.61386332028075,1.43546141605126,1e-10,7.4720904464343,8.70727802136214,FALSE,0.243096423715657,0.0222551167151116
"mirna",1,"1000","1000 1000",1024,FALSE,"sigmoid","rmsprop",0.0570781428409722,TRUE,TRUE,294,5.19182372402137,1.71060805237817,5.20159978513373,1e-14,8.26745281908869,3.96973400203045,TRUE,0.30482203277691,2.82982205327658
"mirna",1,"1000 1000 1000","1000 1000 1000 1000",64,FALSE,"relu","adam",0.0427708492607343,TRUE,FALSE,414,6.13595105966155,0.641979161074586,3.02466257663094,1e-14,3.72772473941676,0.830368111266289,TRUE,8.04785294491589,0.831973594757372
"mirna",1,"1000 1000 1000","1000 1000",512,FALSE,"sigmoid","rmsprop",0.0245680119886904,FALSE,FALSE,416,9.71240186077648,6.15536070878303,6.21056567525142,1e-08,4.97852389320575,4.19468219633563,FALSE,4.04853839657518,9.80704724849096
"expression",1,"1000 1000 1000 1000 1000","1000",512,FALSE,"tanh","rmsprop",0.0983510370788424,TRUE,FALSE,408,8.8404950673903,4.18422394370835,9.12519953956245,1e-12,0.0802744495842549,9.20649973111693,TRUE,2.95358394327262,9.96162950917299
"mirna",1,"1000 1000","1000",128,TRUE,"tanh","adam",0.045179731070569,FALSE,TRUE,337,7.4366675733217,8.83498846760944,0.280604640899692,1e-06,7.43714321119401,5.14089396161842,FALSE,9.97998561157264,1.43993629974849
"expression",1,"1000 1000 1000","1000 1000 1000 1000",128,TRUE,"tanh","adam",0.0720931136942499,FALSE,TRUE,131,8.22267875386161,7.57894840536035,4.53356166946003,1e-08,9.57047956534584,9.71033201696933,TRUE,6.67956726001259,5.55593173218832
"expression",1,"1000","1000 1000 1000",256,TRUE,"sigmoid","adam",0.0205514754120753,TRUE,TRUE,241,4.64275560116531,6.6925864940728,8.92094133352512,1e-14,9.85875842749723,7.81870932160993,TRUE,1.12736869713374,5.24925167888919
"mirna",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000 1000",256,FALSE,"sigmoid","sgd",0.00617152626263417,TRUE,FALSE,404,5.44898483043719,8.97395209427636,7.35199679626385,1e-14,6.50825623322454,5.97714421842131,TRUE,7.3805300483638,1.88302265973492
"expression",1,"1000 1000","1000 1000",64,TRUE,"sigmoid","sgd",0.0508975481552719,TRUE,TRUE,400,0.492864891094397,7.22692686621221,4.93293569645961,1e-10,9.64535256664353,3.89962740361108,FALSE,2.07777655897627,2.97426572341869
"expression",1,"1000 1000 1000 1000","1000 1000 1000 1000 1000",32,FALSE,"sigmoid","sgd",0.0920265334715228,FALSE,TRUE,128,3.38876490494696,7.39666545588649,7.24270711163408,1e-08,1.85075069962126,4.30129525218625,FALSE,7.03597699752814,9.24328186160689
"expression",1,"1000 1000 1000 1000 1000","1000",32,FALSE,"relu","rmsprop",0.0842491484617432,TRUE,FALSE,162,1.48234279779125,0.784711762022699,0.441749641299248,1e-12,5.43623771332852,7.97865725065116,FALSE,8.64480010827985,3.33380556266268
"mirna",1,"1000","1000",1024,FALSE,"sigmoid","sgd",0.0847679701629156,FALSE,TRUE,153,5.34556436932465,9.8047870867035,4.17203496902366,1e-12,5.57882301642896,5.43539346496807,FALSE,0.652367679832019,5.17908866712607
"expression",1,"1000 1000 1000 1000","1000",32,TRUE,"relu","adam",0.0586346498682877,TRUE,FALSE,327,9.01995739024261,6.3040513187541,6.98377937690821,1e-06,2.22555024499622,0.938319233519724,FALSE,9.24330495812338,8.20029752025402
"mirna",1,"1000 1000 1000 1000","1000 1000",1024,FALSE,"sigmoid","sgd",0.0861793675284364,FALSE,FALSE,309,6.57730159133029,2.89887632537154,2.7512429749046,1e-08,0.5392938512595,3.75271634969511,FALSE,7.44337983144987,7.31438618300101
"expression",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000",256,FALSE,"tanh","adam",0.0407401670626221,TRUE,TRUE,100,9.96246443950715,9.08165350626246,2.39649234915967,1e-06,7.92923652005583,7.43017487940844,FALSE,3.4588345557314,4.39630831315231
"mirna",1,"1000 1000 1000 1000","1000 1000 1000",256,FALSE,"sigmoid","adam",0.0476911922870816,FALSE,TRUE,355,5.96757409191945,1.1634212467407,2.35420987016638,1e-14,0.468660624888202,5.00027047623065,FALSE,3.61834166119679,1.19896250088987
"expression",1,"1000 1000 1000 1000","1000 1000 1000 1000",1024,FALSE,"sigmoid","rmsprop",0.0287282661857991,TRUE,FALSE,312,4.36757106918718,3.25093640159654,0.927007413635729,1e-08,6.88013354716911,0.362684705860447,TRUE,7.52151029243061,6.59848376574711
"mirna",1,"1000 1000","1000 1000 1000",64,FALSE,"sigmoid","adam",0.0565316125749447,TRUE,FALSE,288,7.54441751974498,6.12584323430668,2.00535327446763,1e-12,4.8273033164564,7.29732913999935,TRUE,7.51488060401582,2.40186346942035
"mirna",1,"1000 1000 1000 1000","1000 1000 1000 1000 1000",128,FALSE,"relu","sgd",0.0261039057412755,FALSE,TRUE,401,6.64617461312073,4.32472681147278,8.21378899701522,1e-14,3.64122150530174,9.72429645449505,TRUE,5.19372450862774,0.60549961257824
"expression",1,"1000 1000 1000 1000","1000",128,TRUE,"relu","rmsprop",0.0366193610453049,FALSE,FALSE,183,6.87047015278428,0.387156045810034,2.93861717478023,1e-06,9.74517461823794,1.56227259922074,FALSE,6.83232697247669,0.852775437961606
"expression",1,"1000","1000 1000 1000",1024,FALSE,"relu","rmsprop",0.0527505178771331,TRUE,FALSE,324,0.599660923815447,2.32718021531611,3.7581276792055,1e-06,4.20467182906432,7.1370006927941,TRUE,4.98837048246555,2.74868512807221
"mirna",1,"1000 1000 1000","1000 1000 1000 1000",256,FALSE,"sigmoid","adam",0.0450812845707283,TRUE,FALSE,188,9.45732142800937,6.74057548642084,2.04396432558075,1e-08,2.67371922107532,0.449155660046963,FALSE,1.63002829035686,1.33726323404272
"expression",1,"1000 1000 1000 1000","1000 1000 1000",1024,TRUE,"sigmoid","rmsprop",0.0931799407893385,TRUE,TRUE,250,9.05625169150334,4.95519390136791,0.248033588600811,1e-10,9.75942554794191,0.547270913292887,FALSE,2.10138458532662,1.91277214994416
"expression",1,"1000","1000 1000 1000 1000",64,TRUE,"sigmoid","rmsprop",0.0943977895017422,TRUE,FALSE,240,0.418637820501422,4.13797037857186,9.64129354811972,1e-10,3.16233022810945,8.83289355855086,TRUE,7.47062818192731,6.80689749868577
"mirna",1,"1000 1000 1000","1000 1000 1000 1000",512,FALSE,"sigmoid","rmsprop",0.0529374904005745,FALSE,TRUE,150,4.89220340385268,4.515767137813,2.77319649127428,1e-06,9.77552388939121,7.57903941514436,FALSE,3.44961592846947,2.45876290171082
"expression",1,"1000 1000 1000 1000","1000 1000 1000",1024,TRUE,"tanh","sgd",0.0765317208056848,FALSE,TRUE,416,2.65570404587168,8.06266550398667,4.34297934343806,1e-08,9.50083598004207,2.27258573852712,FALSE,5.98120505693941,6.62522350500367
"expression",1,"1000","1000 1000",512,TRUE,"sigmoid","rmsprop",0.0992612332548327,TRUE,FALSE,461,9.70827686589409,6.84060236508542,3.74660069484147,1e-08,9.5148808862608,2.08984403394512,FALSE,2.33308633232899,4.6996450224366
"expression",1,"1000 1000 1000","1000 1000 1000",512,TRUE,"tanh","rmsprop",0.0441362089097611,FALSE,TRUE,176,6.53153075274419,1.68378307118993,4.39482115291874,1e-14,6.2515535104882,1.57081794228521,TRUE,2.61269888748757,7.07367737466041
"expression",1,"1000 1000 1000 1000 1000","1000 1000",128,FALSE,"relu","adam",0.00484643153755175,FALSE,FALSE,184,4.76894928809583,7.66201570431005,4.46713130471646,1e-14,3.6925170063893,5.78276217789506,TRUE,8.5139713398654,9.35959486429375
"mirna",1,"1000 1000 1000 1000","1000 1000 1000 1000 1000",32,FALSE,"tanh","sgd",0.0740273733534574,FALSE,FALSE,382,1.82694047049368,5.33843439621742,3.10254658731981,1e-06,1.31324237822786,9.77854445113568,TRUE,1.71243156536096,3.7565623721913
"mirna",1,"1000 1000 1000","1000 1000 1000 1000",32,TRUE,"relu","rmsprop",0.00740936669071276,TRUE,TRUE,155,4.05194787339733,1.34618350054611,7.73066628471017,1e-14,3.50524049474187,7.02463526457082,FALSE,7.68839825006482,9.895531422006
"mirna",1,"1000 1000","1000 1000 1000 1000 1000",256,FALSE,"sigmoid","adam",0.0428651240424462,TRUE,TRUE,118,7.83547764021254,2.36288871483114,1.23003686354146,1e-06,5.46965336382557,9.44227061862941,FALSE,4.75084926012021,7.42208523921625
"expression",1,"1000 1000","1000",128,TRUE,"tanh","sgd",0.0582302831707056,TRUE,TRUE,186,6.66415151010138,8.6550426668558,7.71621217656997,1e-08,9.52285036895437,2.52952587103005,FALSE,1.23128113525191,6.32224025451413
